Date,XLB,XLC,XLE,XLF,XLI,XLK,XLP,XLRE,XLU,XLV,XLY
2025-01-02,40.792598724365234,96.11066436767578,41.92946243286133,47.54821014404297,129.5201873779297,115.26693725585938,76.28622436523438,38.94866943359375,37.0759391784668,135.23141479492188,109.75043487548828
2025-01-03,40.782798767089844,96.7034683227539,42.321372985839844,47.922996520996094,130.92092895507812,117.14523315429688,76.24728393554688,39.4803581237793,37.46969223022461,136.55809020996094,111.97122955322266
2025-01-06,41.05732727050781,97.75071716308594,42.127838134765625,47.77505111694336,130.63485717773438,118.63595581054688,75.4490966796875,38.939002990722656,37.0516357421875,136.61705017089844,112.41242218017578
2025-01-07,41.03281784057617,96.66394805908203,42.54877471923828,47.666561126708984,130.5066375732422,116.25578308105469,75.18626403808594,38.648990631103516,36.95927047729492,137.2951202392578,110.23624420166016
2025-01-08,41.25832748413086,96.0909194946289,42.59231948852539,47.82436752319336,131.0195770263672,116.21603393554688,75.32254028320312,38.813331604003906,36.94955062866211,138.00267028808594,110.54853820800781
2025-01-10,40.83672332763672,94.65834045410156,42.766502380371094,46.67042541503906,129.54977416992188,113.68182373046875,74.31018829345703,37.8756217956543,36.74052429199219,137.226318359375,109.46292877197266
2025-01-13,41.74856185913086,94.69786071777344,43.666446685791016,47.00575637817383,131.0688934326172,112.8768310546875,74.43673706054688,38.358978271484375,36.312740325927734,139.01486206054688,110.08257293701172
2025-01-14,42.268211364746094,94.38170623779297,44.135765075683594,47.58766174316406,132.6175994873047,113.17497253417969,74.45620727539062,38.687660217285156,36.789127349853516,137.58010864257812,109.86941528320312
2025-01-15,42.67020797729492,95.93283081054688,44.78894805908203,48.80077362060547,133.45608520507812,115.42594146728516,74.203125,38.85199737548828,37.32872009277344,138.14027404785156,112.66522979736328
2025-01-16,43.02317428588867,95.38945007324219,45.11311721801758,49.12624740600586,135.0738525390625,114.53649139404297,74.75797271728516,39.7220344543457,38.271785736083984,138.69056701660156,112.05551147460938
2025-01-17,43.3026123046875,96.21934509277344,45.461483001708984,49.54047775268555,135.8827362060547,116.33030700683594,75.18626403808594,39.71237564086914,38.32524871826172,137.75698852539062,113.62691497802734
2025-01-21,43.8565788269043,97.0887680053711,45.229244232177734,49.954715728759766,138.6743621826172,117.29927825927734,75.53669738769531,40.43740463256836,38.9134521484375,140.03689575195312,114.4596939086914
2025-01-22,43.503604888916016,98.05699157714844,44.406715393066406,49.71800994873047,138.34884643554688,119.94778442382812,75.16680145263672,39.7317008972168,38.072471618652344,139.722412109375,114.0284423828125
2025-01-23,43.74382019042969,98.31387329101562,44.609928131103516,50.0040283203125,139.7495880126953,120.16145324707031,75.4393539428711,40.050716400146484,38.25233840942383,141.58958435058594,114.71746826171875
2025-01-24,43.63106918334961,99.20305633544922,44.1793098449707,50.1519660949707,139.15774536132812,118.90925598144531,75.82872009277344,40.16672134399414,38.6412239074707,141.81561279296875,114.01850891113281
2025-01-27,43.65557861328125,99.71680450439453,43.71966552734375,50.70427703857422,137.29335021972656,113.08056640625,77.88262176513672,40.56307601928711,37.74677658081055,144.99960327148438,114.66790771484375
2025-01-28,43.5134162902832,100.2009048461914,43.303565979003906,50.615516662597656,136.38583374023438,116.09677124023438,76.66585540771484,40.07004928588867,37.22663497924805,143.98739624023438,114.80670166015625
2025-01-29,43.434974670410156,100.64550018310547,43.40032958984375,50.57606506347656,135.92218017578125,115.15266418457031,76.85079193115234,39.60602951049805,37.304412841796875,143.1422882080078,114.47953033447266
2025-01-30,43.84677505493164,100.74430084228516,43.62289810180664,51.0593376159668,137.44131469726562,115.36631774902344,77.61006927490234,40.1280517578125,38.08219528198242,144.79324340820312,115.59983825683594
2025-01-31,43.52812576293945,101.14936828613281,42.40362548828125,50.763458251953125,136.47462463378906,114.69053649902344,76.88001251220703,40.041046142578125,37.85858154296875,144.33135986328125,115.0892562866211
2025-02-03,43.572242736816406,101.36672973632812,42.66973876953125,50.556339263916016,135.12318420410156,113.14515686035156,77.1817626953125,39.9733772277832,38.0627555847168,144.89149475097656,113.56742095947266
2025-02-04,43.69969940185547,102.27566528320312,43.56483459472656,50.437984466552734,135.1626434326172,114.77500915527344,76.52958679199219,39.9733772277832,37.727333068847656,144.49842834472656,114.90583801269531
2025-02-05,43.66538619995117,101.28768157958984,43.65677261352539,50.970577239990234,135.2612762451172,116.37007904052734,77.00653839111328,40.601741790771484,38.10649871826172,145.88404846191406,113.60212707519531
2025-02-06,43.81735610961914,101.72239685058594,42.85359573364258,51.394676208496094,135.8728790283203,116.6880874633789,77.35697937011719,40.717742919921875,38.0627555847168,144.5770263671875,114.05322265625
2025-02-07,43.28300476074219,101.50503540039062,42.8487548828125,51.1086540222168,135.46844482421875,115.68931579589844,77.24016571044922,40.57273864746094,37.98497009277344,143.89895629882812,111.82252502441406
2025-02-10,43.503604888916016,101.95951080322266,43.792240142822266,50.70427703857422,136.68177795410156,117.37879180908203,77.7171401977539,40.630741119384766,38.39816665649414,143.7711944580078,112.20421600341797
2025-02-11,43.7585334777832,102.12747955322266,44.145442962646484,50.83250045776367,136.73109436035156,117.4334487915039,78.46666717529297,40.853084564208984,38.59261703491211,143.505859375,110.93023681640625
2025-02-12,43.44478225708008,102.23615264892578,43.080997467041016,50.65496826171875,135.8827362060547,117.18002319335938,78.40826416015625,40.50507354736328,38.524559020996094,143.2995147705078,110.91041564941406
2025-02-13,44.199745178222656,103.4118423461914,43.40516662597656,50.99030303955078,136.02084350585938,118.83969116210938,79.255126953125,40.82408142089844,38.612060546875,143.85964965820312,112.57600402832031
2025-02-14,44.04777145385742,104.04415130615234,43.579349517822266,51.08892822265625,135.68545532226562,119.24217987060547,78.46666717529297,40.65974807739258,38.45164108276367,142.29713439941406,112.52642822265625
2025-02-18,44.60663986206055,103.5600357055664,44.17447280883789,51.4538459777832,136.75082397460938,120.33039093017578,78.74895477294922,40.80474853515625,38.81136703491211,142.02198791503906,112.21412658691406
2025-02-19,44.08208465576172,103.67859649658203,44.52283477783203,51.473575592041016,136.88893127441406,120.34033203125,79.38167572021484,40.88208770751953,39.01553726196289,143.86947631835938,112.14969635009766
2025-02-20,43.9791374206543,103.1944808959961,44.929264068603516,50.68455123901367,135.9912567138672,119.95771789550781,79.07017517089844,41.16243362426758,39.010677337646484,144.67530822753906,111.18304443359375
2025-02-21,43.17515182495117,101.78167724609375,43.995452880859375,50.05333709716797,133.01217651367188,116.70795440673828,79.99491882324219,40.82408142089844,39.0203971862793,143.89895629882812,108.25836181640625
2025-02-24,43.12612533569336,101.9792709350586,44.005126953125,50.27032470703125,132.41046142578125,115.03836059570312,80.23826599121094,41.00776290893555,38.82595443725586,145.06837463378906,107.85187530517578
2025-02-25,43.45948791503906,100.4676742553711,43.371299743652344,50.26045608520508,133.09109497070312,113.54765319824219,81.37716674804688,41.44277572631836,38.631500244140625,146.3164520263672,107.28675842285156
2025-02-26,43.439876556396484,100.28983306884766,43.124542236328125,50.1519660949707,133.17001342773438,114.78494262695312,79.81970977783203,41.239768981933594,38.79192352294922,145.2649383544922,106.8455810546875
2025-02-27,43.14573669433594,99.32160949707031,43.35678482055664,50.42812728881836,132.7063751220703,110.6059799194336,79.80997467041016,41.423439025878906,37.93149948120117,144.67530822753906,105.30391693115234
2025-02-28,43.5134162902832,100.77393341064453,44.02932357788086,51.46371078491211,134.48199462890625,112.0668716430664,80.87098693847656,41.71345520019531,38.509971618652344,146.3557586669922,107.05377960205078
2025-03-03,42.64079284667969,99.76620483398438,42.490718841552734,51.029754638671875,132.56829833984375,108.65811157226562,81.2992935180664,42.07114028930664,38.56344985961914,146.99452209472656,105.08084106445312
2025-03-04,42.062313079833984,98.97581481933594,42.07945251464844,49.23473358154297,129.9838104248047,108.57363891601562,79.91704559326172,41.58778762817383,37.936363220214844,145.6285400390625,103.22689056396484
2025-03-05,43.16044616699219,100.25031280517578,41.4649772644043,49.520751953125,132.03561401367188,110.09912872314453,80.24800872802734,41.97446823120117,37.66899490356445,147.0927734375,104.79829406738281
2025-03-06,42.9349365234375,98.45218658447266,41.59077453613281,48.7021484375,130.90121459960938,107.04316711425781,80.39400482177734,40.82408142089844,36.8863525390625,146.68988037109375,102.14128875732422
2025-03-07,43.052589416503906,99.08448791503906,42.3020133972168,48.445716857910156,132.43019104003906,108.593505859375,80.6568374633789,41.056095123291016,37.57177734375,146.69970703125,101.9529037475586
2025-03-10,42.155460357666016,96.61454010009766,42.61650848388672,47.360816955566406,130.358642578125,103.97726440429688,80.48162078857422,40.65974807739258,37.98497009277344,145.11752319335938,98.31439208984375
2025-03-11,41.83190155029297,95.19184875488281,42.2778205871582,46.95644760131836,128.35617065429688,103.55490112304688,79.30380249023438,40.23439025878906,37.63011169433594,143.5353546142578,97.35271453857422
2025-03-12,41.63580322265625,95.66608428955078,42.47135925292969,47.025482177734375,128.34629821777344,105.18473815917969,77.58085632324219,40.089385986328125,37.5134391784668,142.10060119628906,97.9178237915039
2025-03-13,41.60639190673828,93.69999694824219,42.18105697631836,46.76905059814453,127.03431701660156,103.18719482421875,77.220703125,39.30635070800781,37.605804443359375,141.34390258789062,95.4739761352539
2025-03-14,42.15055465698242,95.41908264160156,43.42936325073242,47.85395050048828,129.3524932861328,106.30775451660156,77.39591217041016,40.07004928588867,38.33983612060547,142.42486572265625,97.50637817382812
2025-03-17,42.68000793457031,96.10079193115234,44.12125015258789,48.4161262512207,131.13795471191406,107.04814147949219,78.52506256103516,40.77574920654297,38.5002555847168,144.2330780029297,97.66004943847656
2025-03-18,42.606475830078125,94.75714874267578,44.193824768066406,48.35695266723633,130.09230041503906,105.41829681396484,77.62953186035156,40.5244026184082,38.23289489746094,144.30186462402344,95.92010498046875
2025-03-19,42.74864196777344,95.8834457397461,44.91474914550781,48.8895378112793,131.81858825683594,106.78974914550781,77.62953186035156,40.57273864746094,38.37386703491211,144.3804931640625,97.75919342041016
2025-03-20,42.4790153503418,95.67595672607422,45.07925033569336,48.958580017089844,131.15769958496094,106.02947998046875,77.2499008178711,40.5244026184082,38.529422760009766,144.4689178466797,97.52621459960938
2025-03-21,42.05740737915039,96.42682647705078,44.76475143432617,48.78104782104492,130.45729064941406,106.31768798828125,77.220703125,40.1280517578125,38.28150177001953,144.06602478027344,97.87816619873047
2025-03-24,42.6273193359375,97.79229736328125,45.27479934692383,49.6412353515625,132.87655639648438,108.33120727539062,77.6982421875,40.68649673461914,38.26926040649414,145.16598510742188,101.54756927490234
2025-03-25,42.61746597290039,99.03092193603516,45.4600944519043,49.91839599609375,133.07444763183594,108.68960571289062,76.99366760253906,40.200050354003906,37.65730667114258,143.31134033203125,102.35780334472656
2025-03-26,42.6962776184082,98.18865966796875,45.72827911376953,49.76991653442383,132.19381713867188,106.26541900634766,78.1875228881836,40.404354095458984,37.906986236572266,142.7884979248047,101.02066802978516
2025-03-27,42.676578521728516,97.7526626586914,45.28455352783203,49.670928955078125,131.4912872314453,105.28479766845703,79.07801055908203,40.30706787109375,37.897193908691406,143.01539611816406,101.08529663085938
2025-03-28,41.89338684082031,94.86912536621094,45.070003509521484,48.71076965332031,128.78013610839844,102.73120880126953,78.68659210205078,40.2876091003418,38.17625045776367,142.5714569091797,97.94377136230469
2025-03-31,42.351478576660156,95.57266998291016,45.56736755371094,49.304683685302734,129.69044494628906,102.7809829711914,79.91958618164062,40.71567916870117,38.60216522216797,144.04135131835938,98.15254974365234
2025-04-01,42.50910186767578,95.63212585449219,45.83555221557617,49.24528884887695,130.4226531982422,103.53263092041016,80.03701782226562,40.744873046875,38.70008087158203,141.40736389160156,99.17652893066406
2025-04-02,42.858829498291016,95.96903228759766,45.89894104003906,49.65113067626953,131.6496124267578,104.29920196533203,79.80216217041016,40.939453125,38.88121795654297,142.3544158935547,101.06044006347656
2025-04-03,40.92301559448242,91.6883316040039,42.29548645019531,47.2061882019043,124.525390625,97.18099975585938,80.26207733154297,39.713600158691406,38.63644027709961,141.2001953125,94.95635223388672
2025-04-04,38.36163330078125,86.43653869628906,38.40434265136719,43.75159454345703,116.69864654541016,90.77958679199219,76.77838134765625,37.904014587402344,36.487247467041016,133.45603942871094,90.86044311523438
2025-04-07,37.745914459228516,86.55545043945312,38.155662536621094,43.64270782470703,116.1544418334961,91.3221664428711,75.88788604736328,36.98949432373047,35.929141998291016,132.65695190429688,89.78677368164062
2025-04-08,36.583438873291016,85.34654235839844,37.2730827331543,43.474430084228516,115.19464111328125,89.4654541015625,74.71360778808594,36.074974060058594,35.78227233886719,131.18704223632812,87.65431213378906
2025-04-09,39.780242919921875,92.88732147216797,40.15974807739258,46.7508544921875,125.42581939697266,101.47681427001953,77.61016082763672,38.14723587036133,37.192222595214844,136.8891143798828,97.19815826416016
2025-04-10,38.509403228759766,89.67678833007812,37.53639602661133,45.44424819946289,122.19023895263672,96.7529067993164,77.64930725097656,37.33973693847656,36.91316604614258,133.0712890625,93.40050506591797
2025-04-11,39.65217208862305,90.43978881835938,38.46772766113281,46.196537017822266,124.34728240966797,98.73406219482422,78.62787628173828,37.86509704589844,37.36357116699219,135.02459716796875,94.30519104003906
2025-04-14,40.12997055053711,91.04423522949219,38.60426330566406,46.67166519165039,125.64350128173828,99.63504028320312,79.96851348876953,38.70178985595703,38.034271240234375,136.6720733642578,94.57856750488281
2025-04-15,39.81472396850586,91.27214813232422,38.545753479003906,46.79045104980469,125.02012634277344,99.9984130859375,79.29329681396484,38.76016616821289,38.02937698364258,135.83352661132812,93.89757537841797
2025-04-16,39.50440216064453,88.81470489501953,38.86269760131836,46.057952880859375,123.30834197998047,96.52393341064453,78.44194793701172,38.74070739746094,37.68667984008789,134.45240783691406,91.58121490478516
2025-04-17,39.77531814575195,89.3894271850586,39.74039840698242,46.17673873901367,123.98118591308594,96.00126647949219,80.11529541015625,39.35363006591797,38.07343292236328,133.6632080078125,92.1578140258789
2025-04-21,39.16945266723633,87.37789916992188,38.701786041259766,45.1868896484375,121.20075225830078,93.5223388671875,79.35201263427734,38.53639602661133,37.172637939453125,130.7825927734375,89.6972885131836
2025-04-22,40.08563995361328,89.65697479248047,39.686763763427734,46.68156433105469,123.3182373046875,95.80216217041016,80.47737121582031,39.324440002441406,38.18603515625,133.23899841308594,92.53559875488281
2025-04-23,40.1348991394043,91.09378051757812,39.61362075805664,47.23588562011719,124.86181640625,98.57974243164062,80.01744079589844,39.37308883666992,38.34759521484375,133.8999786376953,94.60343170166016
2025-04-24,41.001827239990234,92.91703796386719,40.24751663208008,47.7605094909668,127.66203308105469,102.25831604003906,79.31288146972656,39.48983383178711,38.406341552734375,135.53758239746094,96.48734283447266
2025-04-25,40.69643020629883,93.50167846679688,40.17437744140625,47.532840728759766,127.65213012695312,103.77156066894531,79.10737609863281,39.431461334228516,38.28884506225586,136.18869018554688,98.2221450805664
2025-04-28,40.77031707763672,93.85841369628906,40.457191467285156,47.68131637573242,128.07760620117188,103.60232543945312,78.84315490722656,39.674686431884766,38.52383804321289,136.7312774658203,98.2569351196289
2025-04-29,41.11018753051758,94.5421371459961,40.34016418457031,48.176246643066406,128.9087677001953,104.08516693115234,79.49879455566406,39.9957389831543,38.822471618652344,137.402099609375,98.95284271240234
2025-04-30,41.321998596191406,94.57185363769531,39.25278854370117,48.26533126831055,129.83888244628906,104.51823425292969,80.07615661621094,40.18059158325195,38.62664794921875,138.57606506347656,98.05313110351562
2025-05-01,41.13974380493164,95.05740356445312,39.399070739746094,48.255435943603516,130.81845092773438,106.05138397216797,79.38137817382812,40.29733657836914,38.73924255371094,134.79769897460938,98.5949478149414
2025-05-02,41.83427429199219,96.53385162353516,39.97445297241211,49.25518798828125,133.16351318359375,107.82347106933594,79.81194305419922,40.793514251708984,39.04277801513672,136.66221618652344,100.12593078613281
2025-05-05,41.523956298828125,96.76175689697266,39.25278854370117,48.93843460083008,133.23275756835938,107.25102996826172,79.74344635009766,40.744873046875,38.94485855102539,136.2774658203125,99.06219482421875
2025-05-06,41.22348403930664,96.74192810058594,39.26253890991211,48.66127395629883,132.065185546875,106.3600082397461,79.6064453125,40.462730407714844,39.419734954833984,132.51885986328125,98.19728088378906
2025-05-07,40.99690246582031,96.56356811523438,39.27716827392578,48.948333740234375,132.73802185058594,107.42524719238281,79.73365783691406,40.43354797363281,39.53234100341797,133.5349578857422,98.96278381347656
2025-05-08,41.54365921020508,96.79147338867188,39.79404067993164,49.35417175292969,134.5685577392578,108.4506607055664,79.63578796386719,40.23896789550781,39.21411895751953,132.33140563964844,100.13090515136719
2025-05-09,41.65201950073242,96.29603576660156,40.193878173828125,49.35417175292969,134.6774139404297,108.31626892089844,79.1758804321289,40.4821891784668,39.282657623291016,130.8910675048828,100.61308288574219
2025-05-12,42.61746597290039,98.29765319824219,41.24224853515625,50.35392761230469,138.8233184814453,113.34381103515625,79.29329681396484,40.5211067199707,39.047672271728516,134.1268768310547,105.61365509033203
2025-05-13,42.40565490722656,99.25882720947266,41.82250213623047,50.561798095703125,139.79298400878906,115.79287719726562,78.22666931152344,39.97628402709961,38.99382019042969,130.0919952392578,107.01043701171875
2025-05-14,42.01652908325195,99.77410888671875,41.568946838378906,50.4232177734375,139.12013244628906,116.54452514648438,77.80587768554688,39.635772705078125,38.822471618652344,127.0338134765625,107.42301177978516
2025-05-15,42.445068359375,100.17046356201172,41.74448776245117,50.759769439697266,140.66372680664062,116.70380401611328,79.40094757080078,40.36544418334961,39.64983367919922,128.70103454589844,107.18441009521484
2025-05-16,42.87853240966797,100.85418701171875,41.68109893798828,51.066627502441406,142.2666778564453,116.92283630371094,80.3110122680664,40.871341705322266,40.23241424560547,131.29556274414062,108.19844818115234
2025-05-19,42.98689651489258,100.9532699584961,41.13985061645508,51.096317291259766,142.7515106201172,116.75358581542969,80.54586791992188,40.95890808105469,40.40376281738281,132.5583038330078,107.94493865966797
2025-05-20,42.91301345825195,100.70555114746094,40.7595100402832,50.81916046142578,142.23699951171875,116.31553649902344,80.82965850830078,40.744873046875,40.52125930786133,132.8838348388672,107.38323974609375
2025-05-21,42.34162521362305,99.95246887207031,40.00859069824219,49.77981185913086,139.8325653076172,114.13030242919922,79.89022827148438,39.66495895385742,39.78201675415039,129.80592346191406,105.20604705810547
2025-05-22,42.29729461669922,99.7344741821289,39.85255432128906,49.72041702270508,139.80287170410156,114.16017150878906,79.5575180053711,39.528751373291016,39.21411895751953,128.78981018066406,105.65838623046875
2025-05-23,42.213558197021484,99.27865600585938,39.97932815551758,49.5422477722168,139.3477325439453,112.90078735351562,79.85108947753906,39.53847885131836,39.684104919433594,128.58262634277344,104.70896911621094
2025-05-27,42.952415466308594,100.8938217163086,40.32553482055664,50.4133186340332,141.80162048339844,115.58380889892578,80.5752182006836,40.1903190612793,39.98273849487305,130.3780975341797,107.80078887939453
